<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.01	04:53:00	75457.04	75520.30	75432.14	75464.04	30	0	2633
2025.09.01	04:54:00	75461.26	75484.47	75375.41	75408.47	30	0	2633
2025.09.01	04:55:00	75418.99	75548.46	75410.13	75527.65	30	0	2633
2025.09.01	04:56:00	75531.06	75575.86	75509.33	75537.27	30	0	2633
2025.09.01	04:57:00	75531.21	75595.15	75489.18	75588.75	30	0	2633
2025.09.01	04:58:00	75612.36	75635.26	75507.66	75507.66	30	0	2633
2025.09.01	04:59:00	75518.59	75634.65	75518.59	75617.27	30	0	2633
2025.09.01	05:00:00	75625.34	75647.87	75557.86	75624.85	30	0	2633
2025.09.01	05:01:00	75628.40	75709.90	75612.93	75677.80	30	0	2633
2025.09.01	05:02:00	75654.74	75654.74	75567.08	75577.79	30	0	2633
2025.09.01	05:03:00	75569.32	75572.71	75439.06	75493.79	30	0	2633
2025.09.01	05:04:00	75511.14	75531.63	75450.38	75450.38	30	0	2633
2025.09.01	05:05:00	75448.99	75538.12	75439.80	75475.61	30	0	2633
2025.09.01	05:06:00	75472.23	75532.76	75445.98	75532.76	30	0	2633
2025.09.01	05:07:00	75518.98	75552.18	75475.25	75509.19	30	0	2633
2025.09.01	05:08:00	75526.37	75614.47	75473.90	75513.33	30	0	2633
2025.09.01	05:09:00	75489.39	75532.89	75473.02	75481.49	30	0	2633
2025.09.01	05:10:00	75477.71	75478.91	75355.01	75392.64	30	0	2633
2025.09.01	05:11:00	75392.58	75536.39	75392.58	75481.90	30	0	2633
2025.09.01	05:12:00	75498.18	75597.46	75496.77	75586.30	30	0	2633
2025.09.01	05:13:00	75598.68	75598.68	75495.95	75507.14	30	0	2633
2025.09.01	05:14:00	75500.44	75595.01	75479.82	75479.82	30	0	2633
2025.09.01	05:15:00	75483.76	75520.80	75457.57	75483.58	30	0	2633
2025.09.01	05:16:00	75478.68	75506.94	75414.20	75444.21	30	0	2633
2025.09.01	05:17:00	75442.11	75500.69	75356.79	75363.04	30	0	2633
2025.09.01	05:18:00	75359.82	75361.61	75292.77	75292.77	30	0	2633
2025.09.01	05:19:00	75277.67	75450.33	75261.60	75445.19	30	0	2633
2025.09.01	05:20:00	75415.95	75415.95	75328.81	75328.81	30	0	2633
2025.09.01	05:21:00	75338.34	75385.91	75279.53	75280.78	30	0	2633
2025.09.01	05:22:00	75273.95	75273.95	75168.10	75197.33	30	0	2633
2025.09.01	05:23:00	75192.10	75274.72	75149.04	75149.04	30	0	2633
2025.09.01	05:24:00	75157.60	75275.63	75157.60	75164.36	30	0	2633
2025.09.01	05:25:00	75148.24	75292.26	75148.24	75267.96	30	0	2633
2025.09.01	05:26:00	75251.88	75271.53	75175.04	75271.53	30	0	2633
2025.09.01	05:27:00	75253.64	75285.84	75216.49	75283.07	30	0	2633
2025.09.01	05:28:00	75313.28	75316.85	75238.41	75304.84	30	0	2633
2025.09.01	05:29:00	75330.21	75371.23	75254.97	75288.87	30	0	2633
2025.09.01	05:30:00	75281.24	75367.01	75281.24	75358.13	30	0	2633
2025.09.01	05:31:00	75359.73	75441.35	75300.57	75415.82	30	0	2633
2025.09.01	05:32:00	75420.61	75433.96	75310.57	75338.82	30	0	2633
2025.09.01	05:33:00	75362.38	75366.10	75237.76	75327.37	30	0	2633
2025.09.01	05:34:00	75320.21	75393.36	75302.60	75302.60	30	0	2633
2025.09.01	05:35:00	75310.87	75424.58	75303.54	75311.55	30	0	2633
2025.09.01	05:36:00	75303.52	75318.99	75216.12	75280.16	30	0	2633
2025.09.01	05:37:00	75294.67	75297.60	75207.68	75207.68	30	0	2633
2025.09.01	05:38:00	75203.27	75287.55	75199.80	75274.93	30	0	2633
2025.09.01	05:39:00	75271.69	75381.74	75205.27	75381.74	30	0	2633
2025.09.01	05:40:00	75386.94	75411.41	75352.70	75352.70	30	0	2633
2025.09.01	05:41:00	75372.59	75453.02	75371.70	75427.36	30	0	2633
