timestamp,strategy,zone_type,zone_price,trend,reason
2025-09-27T00:42:00.312841,aggressive,demand,69443.7,downtrend,score below threshold (FAST)
2025-09-27T00:42:00.312841,aggressive,supply,70046.15,downtrend,score below threshold (FAST)
2025-09-27T00:43:00.294169,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:43:00.294169,aggressive,demand,69443.7,downtrend,score below threshold (FAST)
2025-09-27T00:43:00.294169,aggressive,supply,70046.15,downtrend,score below threshold (FAST)
2025-09-27T00:44:00.282964,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:44:00.282964,aggressive,demand,69443.7,downtrend,score below threshold (FAST)
2025-09-27T00:45:00.347286,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:45:00.347286,aggressive,demand,69443.7,downtrend,score below threshold (FAST)
2025-09-27T00:46:00.342333,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:46:00.342333,aggressive,demand,69443.7,downtrend,score below threshold (FAST)
2025-09-27T00:46:00.358392,aggressive,supply,70046.15,downtrend,score below threshold (FAST)
2025-09-27T00:47:00.362830,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:48:00.352125,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:48:00.368128,aggressive,demand,69443.7,downtrend,score below threshold (FAST)
2025-09-27T00:49:00.333682,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:49:00.333682,aggressive,demand,69443.7,downtrend,score below threshold (FAST)
2025-09-27T00:49:00.339469,aggressive,supply,70046.15,downtrend,score below threshold (FAST)
2025-09-27T00:50:00.332815,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:50:00.332815,aggressive,demand,69443.7,downtrend,score below threshold (FAST)
2025-09-27T00:50:00.332815,aggressive,supply,70046.15,downtrend,score below threshold (FAST)
2025-09-27T00:51:00.320805,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:51:00.325838,aggressive,demand,69443.7,downtrend,score below threshold (FAST)
2025-09-27T00:52:00.303012,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:52:00.306154,aggressive,demand,69443.7,downtrend,score below threshold (FAST)
2025-09-27T00:52:00.307899,aggressive,supply,70046.15,downtrend,score below threshold (FAST)
2025-09-27T00:53:00.405780,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:53:00.409403,aggressive,demand,69443.7,downtrend,score below threshold (FAST)
2025-09-27T00:53:00.412387,aggressive,supply,70046.15,downtrend,score below threshold (FAST)
2025-09-27T00:54:00.304480,trend_follow,demand,69386.01,downtrend,trend mismatch
